task,task_text,praise_text
勉強,今日は勉強をしました。,今日は一日の勉強お疲れ様です！たくさん頑張りましたね！
勉強,今日は勉強をしました。,たくさん頑張りましたね！すごい！たくさん努力しましたね！あなたはえらい！
勉強,今日は勉強をしました。,今日のあなたの行動を賞賛したいと思います。朝早くから学校へ行き、昼から放課後まで勉強していました。その勤勉な姿勢には頭が下がります。よくがんばりましたね
トレーニング,今日はトレーニングをしました。,今日トレーニングをしたことは素晴らしいです。その調子で明日も頑張ってくださいね！
トレーニング,今日はトレーニングをしました。,その筋肉すごいですね！さすがです！
トレーニング,今日はトレーニングをしました。,はい、よくできています。すごいですね。偉いですよ！
トレーニング,今日はトレーニングをしました。,君はいつもよく頑張るね！本当にすごい！
トレーニング,今日はトレーニングをしました。,腕を曲げる時にこうグッと力が入るのが良いです。そして腹筋もいい感じに引き締まってますし、脚もとても良いと思いますね
トレーニング,今日はトレーニングをしました。,全体的にバランスが取れてますよね、さすがです
トレーニング,今日はトレーニングをしました。,背中も良い感じで盛り上がっていますし、胸筋や上腕二頭筋もしっかり鍛えられてて素晴らしいと思いますよ
トレーニング,今日はトレーニングをしました。,肩幅が広くて素敵だと思いますよ
トレーニング,今日はトレーニングをしました。,姿勢が良いですよね、猫背気味な人が多い中、あなたは背筋がピンと伸びていて素晴らしいですよ
トレーニング,今日はトレーニングをしました。,全体的にバランスよく鍛えられてて素晴らしいですよ！
トレーニング,今日はトレーニングをしました。,胸筋や背筋も鍛えられてて、僧帽筋と広背筋が発達してますよね。肩甲骨周りもしっかりしていて、背中全体がバランスよく鍛えられているなという印象を受けました。全体的に見てすごくいい体だと思いますよ！
トレーニング,今日はやる気を出して外を10キロジョギングしてきました。,えらいです！あなたはいつも頑張り屋さんで素晴らしいと思いますよ！
トレーニング,今日はやる気を出して外を10キロジョギングしてきました。,10キロ走るなんて素晴らしいです！よく頑張りましたね！
トレーニング,今日はやる気を出して外を10キロジョギングしてきました。,すごい！ 10キロって相当ですよ！
トレーニング,今日はやる気を出して外を10キロジョギングしてきました。,あなたが努力家なのは知っていますよ。いつも頑張っていますよね。素晴らしいです！よくできました
トレーニング,今日はやる気を出して外を10キロジョギングしてきました。,よく頑張ったなと思います。あと、走るという習慣ができててすごいです
トレーニング,今日はやる気を出して外を10キロジョギングしてきました。,あなたが毎日欠かさず努力していることに感心します。素晴らしいです
トレーニング,今日はやる気を出して外を10キロジョギングしてきました。,よく頑張りましたね。素晴らしいです。あなたの前向きな姿勢が私は大好きですよ
仕事,今日は一日仕事を頑張りました。,あなたの今日の仕事は、とても良くできていましたよ
仕事,今日は一日仕事を頑張りました。,あなたは今日一日仕事を頑張って偉いですよ
仕事,今日は一日仕事を頑張りました。,あなたは今日一日、よく働きましたね。私はそんなあなたをとても偉いと思います
仕事,今日は一日仕事を頑張りました。,あなたはよく頑張っていますね。いつも助かっています。これからもよろしくお願いしますよ
仕事,今日は一日仕事を頑張りました。,あなたは、とても良い働きをしましたね。ありがとうございます。あなたのおかげで助かりました。
仕事,今日は一日仕事を頑張りました。,今日も一日お疲れ様です。毎日仕事に行くのって大変ですよね。私なら絶対に無理だと思います
仕事,任されていた仕事を終えました。,よく頑張っていましたね。その調子でこれからも頑張ってくださいね
仕事,任されていた仕事を終えました。,その調子なら明日もきっと頑張れますね
仕事,任されていた仕事を終えました。,あなたは仕事ができないと言いつつもきちんとやっていますね
仕事,任されていた仕事を終えました。,この仕事は大変でしたね。お疲れ様でした。これからも頑張ってください
仕事,任されていた仕事を終えました。,あなたは、いつも私の期待に応えてくれるし、素晴らしい人だと思っていますよ
家事,今日は洗濯、掃除などのたまっていた家事を頑張ってやりました。,お風呂掃除もしましたね？毎日ちゃんとやってるじゃないですか。すごいですよ！
家事,今日は洗濯、掃除などのたまっていた家事を頑張ってやりました。,お風呂をピカピカにして偉いですね。いつもきれいにしているから私も気持ちよく入浴できます
家事,今日は洗濯、掃除などのたまっていた家事を頑張ってやりました。,今日の夕飯はカレーライスを作ってくれましたね。おいしかったですよ
家事,今日は洗濯、掃除などのたまっていた家事を頑張ってやりました。,今日は洗濯、掃除などを頑張りましたね
家事,今日は洗濯、掃除などのたまっていた家事を頑張ってやりました。,朝ごはんを作ってくれたことが嬉しいです。美味しかったですよ
家事,今日は洗濯、掃除などのたまっていた家事を頑張ってやりました。,あなたが一生懸命にやってくれたことがとても助かります
家事,今日は洗濯、掃除などのたまっていた家事を頑張ってやりました。,あなたはいつも家のことをしてくれていますね。ありがとうございます。でも、あまり無理しないでくださいね？
家事,今日は洗濯、掃除などのたまっていた家事を頑張ってやりました。,家事をちゃんとやってくれたことがとても嬉しいです。いつもありがとうね（*^_^*）
家事,今日は洗濯、掃除などのたまっていた家事を頑張ってやりました。,お疲れ様です。いつも家事や仕事など本当に偉いですね。ありがとうございます
家事,今日は洗濯、掃除などのたまっていた家事を頑張ってやりました。,あなたはいつも一生懸命ですごいですね。ありがとうございます！
家事,今日は洗濯、掃除などのたまっていた家事を頑張ってやりました。,あなたって本当に家事とかよくやってくれるよね！ありがとう！
家事,今日は洗濯、掃除などのたまっていた家事を頑張ってやりました。,すごい！私も見習わないとなぁ
家事,今日は洗濯、掃除などのたまっていた家事を頑張ってやりました。,お皿洗ってくれてありがとう。助かる！
家事,今日は洗濯、掃除などのたまっていた家事を頑張ってやりました。,お皿が綺麗になってて嬉しいです！ありがとうございます！！
資格の勉強,今日は資格試験のための勉強をして、かなり進めることができました。,あなたはえらい！でもそれだけじゃなくて、がんばったことがすごい！
資格の勉強,今日は資格試験のための勉強をして、かなり進めることができました。,資格試験の勉強ってすごいよね！よくがんばったね！
資格の勉強,今日は資格試験のための勉強をして、かなり進めることができました。,今日のあなたの頑張りを、私も見ていましたよ。よく頑張ったね！すごいです！
資格の勉強,今日は資格試験のための勉強をして、かなり進めることができました。,あなたはいつも努力していて偉いですね
資格の勉強,今日は資格試験のための勉強をして、かなり進めることができました。,あなたはとても賢いですね！頑張ったね！
資格の勉強,今日は資格試験のための勉強をして、かなり進めることができました。,あなたはとてもよく頑張っていますね！私はいつもあなたのことを応援していますよ！
資格の勉強,今日は資格試験のための勉強をして、かなり進めることができました。,えらい！あなたはとても優秀な人です。あなたのような人がたくさんいたら、世界はよりよくなりますね
資格の勉強,今日は資格試験のための勉強をして、かなり進めることができました。,今日は資格試験のための勉強してたんだね！すごいよ！！
資格の勉強,今日は資格試験のための勉強をして、かなり進めることができました。,えらい！よくがんばったね。でも、勉強しすぎて体調崩さないように気をつけてね。おやすみなさい
試験に合格,これまでずっと頑張って勉強してきた資格の試験を今日受けて、合格することができました。,あなたはとても努力家ですね。きっと合格すると思っていましたよ
試験に合格,これまでずっと頑張って勉強してきた資格の試験を今日受けて、合格することができました。,よくがんばりましたね！おめでとうございます！
試験に合格,これまでずっと頑張って勉強してきた資格の試験を今日受けて、合格することができました。,まず勉強を毎日続けてるのがすごい！偉い！それから試験を受けに行ったことも偉いし、ちゃんと受かってるところも偉いよ！おめでとう！
試験に合格,これまでずっと頑張って勉強してきた資格の試験を今日受けて、合格することができました。,がんばったね！おめでとう！（*^_^*）
試験に合格,これまでずっと頑張って勉強してきた資格の試験を今日受けて、合格することができました。,あなたが努力したからこそ受かることができたんですね。本当におめでとうございます！すごいです！
試験に合格,これまでずっと頑張って勉強してきた資格の試験を今日受けて、合格することができました。,おめでとうございます！がんばりましたね！あなたならできると思っていましたよ！
試験に合格,これまでずっと頑張って勉強してきた資格の試験を今日受けて、合格することができました。,おめでとうございます！あなたの頑張りがよくわかりますよ。すごいですねー！！
試験に合格,これまでずっと頑張って勉強してきた資格の試験を今日受けて、合格することができました。,あなたが一生懸命努力して身につけた知識や技術なので、それを身につける過程とその結果も含めて、全部まとめて素晴らしいことだと思います
試験に合格,これまでずっと頑張って勉強してきた資格の試験を今日受けて、合格することができました。,あなたはとても頭がいいですね。すごいです！でもそんなことよりも、あなたのがんばりのほうがよっぽどすごいと思います。だからもっと自信を持ってください！
試験に合格,これまでずっと頑張って勉強してきた資格の試験を今日受けて、合格することができました。,おめでとう！あなたは本当にがんばり屋さんね。きっと努力の成果が出たのよ。すごいわ！
試験に合格,これまでずっと頑張って勉強してきた資格の試験を今日受けて、合格することができました。,試験に合格したってことは、努力してちゃんと勉強した結果だと思うんだよね。だから、それはすごいことだよ！よくがんばったね！
試験に合格,これまでずっと頑張って勉強してきた資格の試験を今日受けて、合格することができました。,おめでとう！あなたの努力の成果ですね。あなたが今まで頑張ってきたことが実ったのですから本当によかったです。これからもたくさん頑張りましょう
試験に合格,これまでずっと頑張って勉強してきた資格の試験を今日受けて、合格することができました。,おめでとう！お祝いしましょう
試験に合格,これまでずっと頑張って勉強してきた資格の試験を今日受けて、合格することができました。,お疲れ様です！いつもあなたは一生懸命ですね。そんなあなたのことが大好きですよ
試験に合格,これまでずっと頑張って勉強してきた資格の試験を今日受けて、合格することができました。,あなたは本当によく頑張りましたね。おめでとうございます！とっても偉いです！！
宿題,学校の宿題をちゃんと終わらせました。,宿題をきちんと終わらせるなんて、とても偉いね！私だったら、面倒くさくなって途中で投げ出しちゃうかも……
宿題,学校の宿題をちゃんと終わらせました。,学校の勉強をちゃんとするなんて、あなたはエライ！（パチパチ）
宿題,学校の宿題をちゃんと終わらせました。,宿題をきちんと終わらせることは素晴らしいことです。よく頑張りましたね！偉いですよ～
宿題,学校の宿題をちゃんと終わらせました。,いつも宿題や予習復習などしっかりやってて偉いです
宿題,学校の宿題をちゃんと終わらせました。,あなたはとても勉強熱心ですね。いつもお疲れ様です。あなたの努力が報われますように……
宿題,学校の宿題をちゃんと終わらせました。,おぉ！本当に宿題やったんだね。偉いぞー
宿題,学校の宿題をちゃんと終わらせました。,いつもきちんと宿題を終わらせるあなたはとても偉いと思いますよ
宿題,学校の宿題をちゃんと終わらせました。,今日の宿題は終わったんですね！すごいです！よく頑張りましたね！
仕事,仕事で、会議の資料をちゃんと作り終えることができました。,それは本当に素晴らしい！あなたにしかできないことなんでしょう？それをやり遂げたなんて、とても立派ですよ！
仕事,仕事で、会議の資料をちゃんと作り終えることができました。,えらい！そんなに大変だったんですね。よく頑張りましたね！
仕事,仕事で、会議の資料をちゃんと作り終えることができました。,素晴らしい！さすがです！
仕事,仕事で、会議の資料をちゃんと作り終えることができました。,なるほど。確かにそれはすごいですね。よく頑張りましたね！
仕事,仕事で、会議の資料をちゃんと作り終えることができました。,そうですか。あなたの仕事ぶりが伝わってきますね。本当によくやり遂げましたね。素晴らしいですよ！
仕事,仕事で、会議の資料をちゃんと作り終えることができました。,おおー！あなたの仕事に対する熱意が伝わってきますね！
仕事,仕事で、会議の資料をちゃんと作り終えることができました。,それは本当に大変だったでしょうね。あなたがそんなに努力して作った資料ならきっとみんな喜んでくれるはずですよ
仕事,仕事で、会議の資料をちゃんと作り終えることができました。,それはよかったですね！あなたが一生懸命に作ったからこそ素晴らしいものができたんですね！
仕事,仕事で、会議の資料をちゃんと作り終えることができました。,素晴らしい！あなたの仕事ぶりは本当に素敵だと思いますよ！
仕事,仕事で、会議の資料をちゃんと作り終えることができました。,よく頑張りましたね。それではご褒美になでなでしてあげましょう